Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Indianapolis Colts,16,31,312,0,26,10.1,43,1111,1,101,25.8,7910
2,Chicago Bears,16,25,190,0,32,7.6,47,1145,1,104,24.4,6997
3,New Orleans Saints,16,39,399,0,42,10.2,30,761,0,75,25.4,7578
4,Buffalo Bills,16,31,370,1,84,11.9,36,995,0,60,27.6,8083
5,Pittsburgh Steelers,16,37,356,0,57,9.6,29,670,0,49,23.1,6683
6,Dallas Cowboys,16,29,265,0,73,9.1,37,965,1,67,26.1,7743
7,Washington Football Team,16,31,176,0,22,5.7,31,645,0,46,20.8,6416
8,Tennessee Titans,16,23,208,0,40,9.0,38,767,1,42,20.2,7788
9,Cleveland Browns,16,24,115,0,13,4.8,36,795,0,43,22.1,7160
10,Los Angeles Chargers,16,18,100,0,30,5.6,42,924,0,76,22.0,7606
11,Los Angeles Rams,16,34,235,0,34,6.9,25,516,0,41,20.6,7224
12,Philadelphia Eagles,16,26,230,1,73,8.8,31,648,0,46,20.9,6769
13,New York Giants,16,20,228,0,20,11.4,36,788,0,48,21.9,6259
14,Houston Texans,16,20,158,0,19,7.9,36,722,0,29,20.1,7195
15,Tampa Bay Buccaneers,16,30,176,0,21,5.9,25,546,0,34,21.8,7225
16,New England Patriots,16,23,357,1,70,15.5,31,717,0,53,23.1,6672
17,Cincinnati Bengals,16,23,232,0,29,10.1,31,764,1,103,24.6,6579
18,Kansas City Chiefs,16,28,163,1,67,5.8,25,646,1,102,25.8,7881
19,San Francisco 49ers,16,25,226,0,21,9.0,27,520,0,34,19.3,7100
20,New York Jets,16,10,86,0,18,8.6,41,811,0,66,19.8,5840
21,Detroit Lions,16,17,217,1,74,12.8,34,845,0,71,24.9,7015
22,Baltimore Ravens,16,27,244,0,20,9.0,23,613,1,93,26.7,7048
23,Seattle Seahawks,16,22,189,0,20,8.6,28,629,0,49,22.5,7129
24,Minnesota Vikings,16,16,69,0,13,4.3,33,722,0,38,21.9,7398
25,Arizona Cardinals,16,25,136,0,24,5.4,24,525,0,54,21.9,7159
26,Carolina Panthers,16,20,117,0,20,5.9,29,734,0,98,25.3,6916
27,Jacksonville Jaguars,16,18,205,1,91,11.4,30,614,0,40,20.5,6525
28,Denver Broncos,16,20,267,1,83,13.4,27,557,0,31,20.6,6531
29,Las Vegas Raiders,16,23,265,0,32,11.5,22,418,0,44,19.0,7125
30,Green Bay Packers,16,11,53,0,11,4.8,33,623,0,34,18.9,7241
31,Miami Dolphins,16,32,354,1,88,11.1,12,215,0,45,17.9,6487
32,Atlanta Falcons,16,17,152,0,24,8.9,20,409,0,29,20.5,6918