Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Los Angeles Rams,16,12,17,1,,2,1,,33,,1,32,32,22,26,,296,18.5
2,Baltimore Ravens,16,12,22,,,1,2,,37,4,6,25,30,16,24,,303,18.9
3,Pittsburgh Steelers,16,13,22,,,,1,,36,2,3,32,33,20,24,,312,19.5
4,Washington Football Team,16,14,21,,,2,,,37,1,1,33,36,24,27,,329,20.6
5,New Orleans Saints,16,11,28,,,,,,39,2,4,33,35,22,26,,337,21.1
6,Miami Dolphins,16,17,21,2,,,1,,41,,0,39,41,17,23,1,338,21.1
7,New England Patriots,16,17,22,,,,2,,41,2,2,37,39,22,27,,353,22.1
8,Tampa Bay Buccaneers,16,10,29,1,,,2,,42,1,3,38,39,21,26,,355,22.2
9,New York Giants,16,14,22,,1,1,,,38,1,7,29,31,32,36,1,357,22.3
10,Indianapolis Colts,16,16,24,,1,1,1,,43,2,2,41,41,19,23,1,362,22.6
11,Kansas City Chiefs,16,14,29,,1,,,,44,1,4,38,40,18,26,2,362,22.6
12,Arizona Cardinals,16,13,26,,,1,2,,42,,4,36,38,25,30,2,367,22.9
13,Green Bay Packers,16,16,23,2,,,1,,42,5,5,35,37,24,27,,369,23.1
14,Chicago Bears,16,11,28,,,2,,,41,,1,37,40,29,35,,370,23.1
15,Seattle Seahawks,16,18,23,,,,1,,42,3,9,26,33,29,35,,371,23.2
16,Buffalo Bills,16,21,23,,,,,,44,5,7,32,37,23,25,,375,23.4
17,San Francisco 49ers,16,12,25,,1,2,2,,42,1,2,37,40,33,37,,390,24.4
18,Carolina Panthers,16,17,28,1,,,,,46,1,3,37,43,29,31,,402,25.1
19,Atlanta Falcons,16,15,34,,,,,,49,2,4,44,45,24,28,,414,25.9
20,Philadelphia Eagles,16,20,27,,,,1,,48,,1,45,47,27,32,2,418,26.1
21,Cleveland Browns,16,16,31,,1,1,1,,50,5,9,38,41,23,27,1,419,26.2
22,Cincinnati Bengals,16,13,32,,,2,,,47,,3,43,44,33,38,,424,26.5
23,Los Angeles Chargers,16,17,29,1,,,,2,49,3,5,40,44,28,32,1,426,26.6
24,Tennessee Titans,16,18,36,,,,,1,55,1,8,42,47,21,23,1,439,27.4
25,Denver Broncos,16,22,21,,1,1,2,,47,1,3,41,44,39,42,2,446,27.9
26,New York Jets,16,16,34,,,,3,,53,,1,50,52,29,35,1,457,28.6
27,Houston Texans,16,24,30,,,1,,,55,3,4,49,50,25,31,2,464,29.0
28,Dallas Cowboys,16,20,34,,,1,2,,57,4,8,45,48,24,27,3,473,29.6
29,Minnesota Vikings,16,19,30,,1,2,1,,53,3,7,42,46,35,39,2,475,29.7
30,Las Vegas Raiders,16,24,28,,,1,2,,55,4,6,44,48,32,39,,478,29.9
31,Jacksonville Jaguars,16,23,34,,,,,,57,1,2,51,55,31,39,2,492,30.8
32,Detroit Lions,16,27,38,,,,3,,68,5,6,53,62,16,20,,519,32.4